country,age_1564,age_64up,age_0014,smok,air_polution,doctor,nurse_midwivies
Moldova,72.6703528,11.46955634,15.86009086,24.2,16.25103271,3.2002,4.5113
Monaco,,,,,,,
Mongolia,65.50689291,4.083538787,30.40956831,25.6,40.11284905,3.2426,
Montenegro,66.81554422,14.97493664,18.20951914,45.9,20.78181355,2.3337,5.7179
Morocco,65.78071505,7.012904821,27.20638013,23.4,32.59354146,,
Mozambique,52.43843539,2.890764457,44.67080015,16.6,21.29869546,,
Myanmar,67.84430978,5.784641933,26.37104828,20.3,35.55745292,,0.3824
Namibia,59.45371913,3.636031681,36.91024919,21.4,25.3587654,,
Nauru,,,,40,,1.2389,6.1947
Nepal,63.8580639,5.727670776,30.41426532,22.8,99.73437372,,
Netherlands,64.69564866,19.19619263,16.10815871,25.8,12.03440807,3.4875,10.4675
New Caledonia,68.08491641,9.174157925,22.74092567,,,,
New Zealand,64.69414402,15.65242453,19.65343146,16,5.956001129,3.0003,10.7919
Nicaragua,64.55082135,5.247497448,30.2016812,,17.61418045,,
Niger,47.42066751,2.595007883,49.98432461,7.7,94.05381768,,
Nigeria,53.38598302,2.747377005,43.86663998,5.8,71.79817438,,
North America,65.62722033,15.95257736,18.4202023,21.02852405,7.311093663,2.596342521,8.685781911
North Macedonia,69.81281899,13.67018138,16.51699963,,29.72694451,2.8736,3.7917
Northern Mariana Islands,,,,,9.892981129,,
Norway,65.40173947,17.04922216,17.54903838,20.2,6.956519803,4.394,17.8622
Not classified,,,,,,,
OECD members,65.05445517,17.11861841,17.82692642,23.64600552,14.45563547,2.891939286,8.044685447
Oman,75.36070706,2.392786956,22.24650599,11.1,41.11523827,2.1225,4.6028
Other small states,64.56829948,5.492465783,29.93923473,23.21205989,34.75442835,0.765803866,3.139624944
Pacific island small states,60.42612785,4.537317377,35.03655477,,11.2676414,0.478550726,2.666355331
Pakistan,60.41741109,4.312774311,35.2698146,20.1,58.28241877,0.9753,0.5004
Palau,,,,15.6,,,
Panama,64.8329646,8.10473108,27.06230432,6.1,11.40005433,,
Papua New Guinea,60.73879635,3.445269251,35.8159344,36.3,12.29441826,,
Paraguay,64.12927939,6.430215009,29.4405056,13.4,11.90908085,,
Peru,66.12100436,8.088392792,25.79060285,4.8,24.78672805,,
Philippines,63.91439103,5.122568768,30.9630402,24.3,18.06979891,,0.24
Poland,67.42990642,17.51781676,15.05227681,28,20.87782222,2.3112,5.7453
Portugal,64.58823464,21.95385754,13.45790782,22.7,8.160752248,,
Post-demographic dividend,64.95424441,18.95451697,16.09123862,24.51312202,11.59376229,3.162179116,9.162847349
Pre-demographic dividend,53.49433526,2.753813638,43.7518511,,48.63789115,0.218402845,0.861185984
Puerto Rico,64.48906368,18.67485021,16.83608611,,8.349033339,,
Qatar,85.08916548,1.370070339,13.54076419,20.6,91.18732793,,
Romania,66.12674365,18.33870139,15.53455496,29.7,14.61134019,,
Russian Federation,67.4112111,14.67470832,17.91408058,39.3,16.16022381,3.9632,8.6567
Rwanda,57.0862309,2.938196078,39.97557302,12.3,43.21021716,0.1408,0.8307
Samoa,56.87889093,4.800411974,38.32069709,27.7,11.54802701,,
San Marino,,,,,,,
Sao Tome and Principe,54.55437193,2.925678109,42.51994996,,28.53958436,0.32,2.26
Saudi Arabia,71.64306385,3.314088023,25.04284813,15.6,87.94544668,,
Senegal,53.85774593,3.086823701,43.05543037,8.2,40.6958259,0.2018,0.7755
Serbia,65.96452656,18.34579269,15.68968075,38.9,24.72635819,,4.7192
Seychelles,68.77008322,7.594545604,23.63537118,21.5,20.17864936,,
Sierra Leone,55.97380444,2.966556211,41.05963935,24.8,21.62594668,,
Singapore,76.25833717,11.46338019,12.27828264,16.5,19.0782565,,
Sint Maarten (Dutch part),,,,,,,
Slovak Republic,68.92461673,15.6292465,15.44613676,30.1,17.56291134,3.4414,6.0052
Slovenia,65.3713453,19.60687965,15.02177505,22.5,16.02397998,2.8099,8.809
Small states,64.85053347,6.029569449,29.11989708,22.35150735,30.47224611,0.898737175,2.957036605
Solomon Islands,56.15946524,3.598950459,40.2415843,,11.87912184,,
Somalia,50.55010499,2.873310943,46.57658407,,32.03458423,,
South Africa,65.60250585,5.318005005,29.07948915,20.3,25.10220499,0.7827,5.0391
South Asia,65.74309191,5.840560482,28.4163476,13.67474559,82.86952124,0.768127523,1.737238959
South Asia (IDA & IBRD),65.74309191,5.840560482,28.4163476,13.67474559,82.86952124,0.768127523,1.737238959
South Sudan,54.78139569,3.39848288,41.82012143,,45.57750557,,
Spain,65.95449137,19.37850752,14.66700111,29.3,9.697927863,3.8493,5.2919
Sri Lanka,65.32977922,10.47321975,24.19700102,13,11.09961724,0.9746,2.487
St. Kitts and Nevis,,,,,,2.523,3.9779
St. Lucia,71.66458664,9.806530356,18.528883,,22.40081712,,
St. Martin (French part),,,,,,,
St. Vincent and the Grenadines,67.86890601,9.589786863,22.54130713,,22.20051632,,
Sub-Saharan Africa,54.47388208,2.987705607,42.53841232,10.17691373,44.60209591,0.219645396,1.02859599
Sub-Saharan Africa (IDA & IBRD countries),54.47388208,2.987705607,42.53841232,10.17691373,44.60209591,0.219645396,1.02859599
Sub-Saharan Africa (excluding high income),54.47259909,2.987292174,42.54010873,10.17503944,44.6043324,0.219576267,1.02838344
Sudan,55.91004761,3.581160528,40.50879187,,55.37083444,0.41,0.83
Suriname,65.92336673,6.906369902,27.17026337,25,24.78001054,,
Sweden,62.32268961,20.09552493,17.58178546,18.8,6.18466509,4.2861,11.8503
Switzerland,66.46582867,18.62321656,14.91095477,25.7,10.3031001,4.1782,16.8152
Syrian Arab Republic,64.07533477,4.503124421,31.42154081,,43.75725947,,
Tajikistan,60.19382837,3.021887552,36.78428408,,46.15218537,,
Tanzania,53.30046267,2.601299178,44.09823815,14.8,29.07664051,,
Thailand,71.01211804,11.90089314,17.08698882,19.9,26.25672656,0.4655,2.3702
Timor-Leste,57.90284343,4.316492294,37.78066427,42.6,19.25720917,0.6696,1.4287
Togo,55.79600849,2.869468011,41.3345235,7.4,35.73133561,0.0487,0.298
Tonga,58.63058035,5.953661444,35.41575821,27.9,10.78547886,,
Trinidad and Tobago,68.84547391,10.73495352,20.41957257,,24.10856843,2.6697,3.5093
Tunisia,67.51420057,8.315679079,24.17012035,32.7,37.65599375,1.2999,2.6478
Turkey,66.86737692,8.48321294,24.64941014,27.2,44.31152568,,2.6304
Turkmenistan,64.7510016,4.426634462,30.82236394,,21.76772098,,
Turks and Caicos Islands,,,,,,,
Tuvalu,,,,,,,
Uganda,51.1284879,1.94098692,46.93052518,10,50.49432132,0.0908,0.6303
Ukraine,67.75290039,16.43468644,15.81241317,28.9,20.30977582,,
United Arab Emirates,84.31148965,1.085000985,14.60350937,28.9,40.91750982,2.2373,5.0419
United Kingdom,63.92605226,18.39586567,17.67808207,22.3,10.47269039,2.778,8.8271
United States,65.48330596,15.80765406,18.70903998,21.8,7.409441662,2.5858,8.55
Upper middle income,69.21340446,10.0379488,20.74864674,23.22037985,38.74828544,1.971289069,3.476541976
Uruguay,64.57749939,14.81451953,20.60798107,16.8,9.27488332,,
Uzbekistan,66.89480471,4.419137878,28.68605741,12.6,28.4559012,,
Vanuatu,57.51161678,3.640153068,38.84823015,18.6,11.65277703,,
"Venezuela, RB",65.0663628,7.26698662,27.66665058,,17.00855357,,
Vietnam,69.55234487,7.274978298,23.17267683,22.8,29.62672834,0.7887,1.4092
Virgin Islands (U.S.),60.99828047,19.28830722,19.7134123,,10.26531228,,
West Bank and Gaza,57.91933298,3.133305737,38.94736128,,33.22563038,,
World,65.33118151,8.873442244,25.79537624,20.485784,45.52185907,1.502125872,3.423420298
"Yemen, Rep.",57.50883997,2.876269756,39.61489027,18.4,50.45600689,,
Zambia,52.96418082,2.099678026,44.93614116,13.8,27.43803476,,
Zimbabwe,54.65941011,2.939523653,42.40106624,15.8,22.25167109,,
