country,age_65up,air_pollution,med_bed,physicians,nurses_midwives,pop_density,smoking,con_500_ind,death_100_ind,rate,confirmed_rate,ind_80,gov_resp
Poland,17.5178167625452,20.8778222190899,6.5,2.3998,5.7221,124.035886214442,28,0.2361111111111111,0.4583333333333333,0.050127732046551236,4.6386085491017056e-4,0.6617647058823529,88.09
Portugal,21.9538575375873,8.16075224791735,3.4,3.3356,6.3725,112.23945350807,22.7,0.22972972972972974,0.36486486486486486,0.041809385924644234,0.002753742723279341,0.5777777777777777,90.61
Qatar,1.3700703387375,91.1873279323164,1.2,8e-4,6.6028,239.593195521103,20.6,0.3026315789473684,1,4.951895868704018e-4,0.01016365307690289,0.5955882352941176,91.54
Romania,18.3387013938296,14.6113401886611,6.3,2.2586,6.0979,84.6398470097357,29.7,0.3291139240506329,0.45569620253164556,0.06481196528589893,8.346285307131947e-4,0.6,88.36
Russia,14.6747083203719,16.1602238064949,8.2,4.0139,8.6212,8.82207955488442,39.3,0.5142857142857142,0.6761904761904762,0.00913794128724058,0.0017459053468675692,0.6544117647058824,92.86
Rwanda,2.9381960775388,43.2102171630293,1.6,0.1346,0.8307,498.659870287799,12.3,1,1,0,2.3329655593317443e-5,0.6764705882352942,100
San Marino,NA,NA,3.8,6.1468,8.7768,563.083333333333,NA,0.717948717948718,1,0.06327160493827161,0.019180109516057423,0.6029411764705882,92.06
Saudi Arabia,3.31408802294981,87.9454466778152,2.7,2.39,5.7,15.6766543082956,15.6,0.2702702702702703,0.6621621621621622,0.006038106210928332,0.0013907737006233275,0.5882352941176471,94.18
Senegal,3.08682370101833,40.6958258953758,0.3,0.0692,0.3129,82.3474783150678,8.2,0.7162162162162162,1,0.010507080858839652,1.3806927558097584e-4,1,18.25
Serbia,18.3457926916963,24.7263581904237,5.7,3.125,6.1203,79.8317402241024,38.9,0.3142857142857143,0.5857142857142857,0.021592442645074223,0.0014856921572525092,0.5661764705882353,100
Seychelles,7.59454560435034,20.1786493605547,3.6,0.9458,3.2613,210.352173913043,21.5,1,1,0,1.1368099047146607e-4,0.8088235294117647,94.58
Sierra Leone,2.96655621131612,21.6259466795766,0.4,0.025,0.9962,105.987170961485,24.8,1,1,0.06372549019607843,5.3332259716601785e-5,0.8235294117647058,96.03
Singapore,11.4633801933791,19.0782564997534,2.4,2.3063,7.2141,7952.9984184018,16.5,0.5309734513274337,1,8.046593608705648e-4,0.0046283914876471,0.7205882352941176,87.83
Slovakia,15.629246504777,17.5629113438527,5.8,2.4643,9.1727,113.290578202995,30.1,0.44285714285714284,1,0.01828029790115098,2.7116983622039553e-4,0.7279411764705882,90.74
