country,value_1564,value_64up,value_0014
India,66.7667424975064,6.17995564947149,27.053301853022106
Indonesia,67.5916370820079,5.85716561272863,26.551197305263457
"Iran, Islamic Rep.",69.3388675341431,6.18457380562499,24.476558660231902
Iraq,58.2898349360976,3.32359966279505,38.386565401107354
Ireland,64.7277787116415,13.8658017012923,21.406419587066196
Isle of Man,,,
Israel,60.0977675160436,11.9769860249625,27.92524645899391
Italy,63.9192043068525,22.7516796025077,13.3291160906398
Jamaica,67.4532607662342,8.79664255070196,23.750096683063845
Japan,59.7267812806245,27.576369910355,12.696848809020494
Jordan,61.9080193928583,3.84649039799834,34.245490209143355
Kazakhstan,64.1476039511304,7.39184627103032,28.460549777839276
Kenya,57.8786464540153,2.33918661191556,39.78216693406914
Kiribati,60.5073933722928,3.95262717204589,35.53997945566131
"Korea, Dem. People’s Rep.",70.4633660858305,9.33452040978796,20.202113504381543
"Korea, Rep.",72.6081205891396,14.4185558323969,12.973323578463493
Kosovo,,,
Kuwait,75.9106395650123,2.55047238400198,21.53888805098572
Kyrgyz Republic,63.1548549102717,4.49472797559656,32.350417114131744
Lao PDR,63.3209313536048,4.0751499644481,32.60391868194711
Latvia,63.9606027403227,20.0436203206809,15.9957769389964
Lebanon,66.901764700394,7.00236813439294,26.095867165213065
Lesotho,62.3825609677432,4.90108749682213,32.71635153543467
Liberia,55.6215816108536,3.25343179968014,41.12498658946626
Libya,67.2887220132367,4.39204025898401,28.319237727779296
Liechtenstein,,,
Lithuania,65.4125423380302,19.7050331564608,14.882424505508993
Luxembourg,69.9380218288939,14.1831541841472,15.878823986958906
"Macao SAR, China",75.8617304903457,10.4842029270023,13.654066582651993
Madagascar,56.3451322813798,2.98671712579162,40.66815059282858
Malawi,53.4522791630613,2.64543493031032,43.90228590662838
Malaysia,69.3331042884915,6.67175462547886,23.995141086029648
Maldives,76.1487387918464,3.70334460612454,20.147916602029056
Mali,49.9492838489489,2.50722975755683,47.54348639349427
Malta,65.3737751793975,20.3493242997122,14.276900520890308
Marshall Islands,,,
Mauritania,56.7757050202881,3.14111215805009,40.08318282166181
Mauritius,70.7321346133359,11.4741730686522,17.793692318011892
Mexico,66.2194668282759,7.22368498087198,26.556848190852122
"Micronesia, Fed. Sts.",64.2959872159091,3.99680397727273,31.707208806818173
Moldova,72.6703527985579,11.4695563413512,15.860090860090907
Monaco,,,
Mongolia,65.50689290572,4.08353878726245,30.40956830701755
Montenegro,66.8155442180663,14.9749366447439,18.2095191371898
Morocco,65.7807150460324,7.0129048211122,27.2063801328554
Mozambique,52.4384353894175,2.8907644574499,44.6708001531326
Myanmar,67.8443097829163,5.78464193257209,26.371048284511616
Namibia,59.4537191301233,3.63603168074514,36.91024918913156
Nauru,,,
Nepal,63.8580639025582,5.72767077569198,30.414265321749824
Netherlands,64.6956486568235,19.1961926333387,16.10815870983781
New Caledonia,68.0849164086245,9.17415792537671,22.7409256659988
New Zealand,64.694144015841,15.6524245271741,19.65343145698489
Nicaragua,64.5508213516632,5.24749744838026,30.20168119995654
Niger,47.4206675078562,2.59500788269853,49.98432460944527
Nigeria,53.3859830164984,2.74737700532743,43.86663997817417
North Macedonia,69.8128189876219,13.6701813815648,16.516999630813302
Northern Mariana Islands,,,
Norway,65.4017394653615,17.0492221563211,17.54903837831739
Oman,75.3607070585134,2.39278695625796,22.246505985228637
Pakistan,60.4174110891137,4.31277431133756,35.26981459954874
Palau,,,
Panama,64.8329645962083,8.10473107966757,27.062304324124128
Papua New Guinea,60.738796347755,3.44526925145617,35.815934400788834
Paraguay,64.1292793944163,6.43021500946081,29.44050559612289
Peru,66.121004362089,8.08839279183076,25.790602846080247
Philippines,63.9143910299006,5.12256876829946,30.96304020179994
Poland,67.4299064237598,17.5178167625452,15.052276813695002
Portugal,64.5882346402803,21.9538575375873,13.457907822132398
Puerto Rico,64.4890636781993,18.6748502103569,16.83608611144379
Qatar,85.08916547614,1.3700703387375,13.540764185122498
Romania,66.1267436456077,18.3387013938296,15.534554960562701
Russian Federation,67.4112110994962,14.6747083203719,17.914080580131895
